"","GEOID","NHW","CT","SP","HS","GOTV","Location","IRR","State","County"
"1",19001,0.977961819202695,0.575061728395062,0.303198887343533,0.869379014989293,0.632189973614776,"Adair County, Iowa",0.571056026194942,"Iowa","County"
"2",19003,0.982823403113258,0.794882047181128,0.182519280205656,0.883064516129032,0.651162790697674,"Adams County, Iowa",0.594904946322946,"Iowa","County"
"3",19005,0.967723342939481,0.660454230235784,0.200520833333333,0.911504424778761,0.621564885496183,"Allamakee County, Iowa",0.5461315318603,"Iowa","County"
"4",19007,0.971702637889688,0.780986547085202,0.267301038062284,0.833531510107015,0.598771121351766,"Appanoose County, Iowa",0.555164223453599,"Iowa","County"
"5",19009,0.971793507184673,0.76047476047476,0.312280701754386,0.885856079404467,0.699130434782609,"Audubon County, Iowa",0.575588811764951,"Iowa","County"
"6",19011,0.974674159057208,0.678964898795798,0.23549032688459,0.812599258867125,0.668219461697723,"Benton County, Iowa",0.523792227792297,"Iowa","County"
"7",19013,0.839672503364434,0.368029739776952,0.364398059679553,0.923971464868563,0.591090432114042,"Black Hawk County, Iowa",0.420777667344299,"Iowa","County"
"8",19015,0.96397590817834,0.801037552319755,0.264797507788162,0.900235294117647,0.639577706849988,"Boone County, Iowa",0.513293093486201,"Iowa","County"
"9",19017,0.962271003147446,0.607683615819209,0.21607476635514,0.935841451125294,0.661089187056038,"Bremer County, Iowa",0.511402432388772,"Iowa","County"
"10",19019,0.973917159763314,0.672733289212442,0.288747346072187,0.82457337883959,0.61839530332681,"Buchanan County, Iowa",0.525597893307882,"Iowa","County"
"11",19021,0.774136229022705,0.52593085106383,0.327685950413223,0.894333191308053,0.595929339477727,"Buena Vista County, Iowa",0.533730959947917,"Iowa","County"
"12",19023,0.975568374618256,0.735964294103829,0.236517218973359,0.929473684210526,0.620333041191937,"Butler County, Iowa",0.543651268518839,"Iowa","County"
"13",19025,0.957157464212679,0.799077632590315,0.334264432029795,0.884510869565217,0.623846153846154,"Calhoun County, Iowa",0.567995507537095,"Iowa","County"
"14",19027,0.990513173417224,0.675245262733503,0.277071459886015,0.871762476310802,0.641328175370729,"Carroll County, Iowa",0.532773553056745,"Iowa","County"
"15",19029,0.971192479721022,0.75283953295015,0.307212205270458,0.706758304696449,0.645695045695046,"Cass County, Iowa",0.544452532212562,"Iowa","County"
"16",19031,0.971753862835457,0.792529858849077,0.187039764359352,0.9136,0.63190053285968,"Cedar County, Iowa",0.532364145708196,"Iowa","County"
"17",19033,0.942024939512377,0.827259985984583,0.370442708333333,0.905366416618581,0.634184501845018,"Cerro Gordo County, Iowa",0.498561642554772,"Iowa","County"
"18",19035,0.947942099755842,0.618874773139746,0.4282982791587,0.949934123847167,0.636422764227642,"Cherokee County, Iowa",0.550710125771484,"Iowa","County"
